document_title,document_text,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23
List of Mount Everest records,,who has climbed mount everest the number of times,NONE,,,,,,,,,,,,,,,,,,,,,,,
World War I,,when did world war one begin and end,NONE,1255-1262,,,,,,,,,,,,,,,,,,,,,,
List of largest cities,,was mexico city the largest city in the world,NONE,,,,,,,,,,,,,,,,,,,,,,,
Displacement (vector),,displacement as a vector with defined direction and distance,NONE,,,,,,,,,,,,,,,,,,,,,,,
Chess clock,,why do you use a clock in chess,NONE,84-110,,,,,,,,,,,,,,,,,,,,,,
The Glory Days Tour,,who is opening for little mix glory days tour,NONE,,,,,,,,,,,,,,,,,,,,,,,
My Boyfriends' Dogs,,where was the movie my boyfriends dogs filmed,NONE,,,,,,,,,,,,,,,,,,,,,,,
J. B. Kripalani,,who was the president of indian national congress during quit india movement,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Flash (season 4),,when does the flash season 4 episode 3 air,NONE,1068-1072,,,,,,,,,,,,,,,,,,,,,,
2016 Pittsburgh Steelers season,,who did the steelers lose to in the playoffs last year,NONE,,,,,,,,,,,,,,,,,,,,,,,
Elaboration likelihood model,,elaboration likelihood model of persuasion central vs. peripheral route,NONE,,,,,,,,,,,,,,,,,,,,,,,
Attorney General of New York,,office of the new york state attorney general,NONE,,,,,,,,,,,,,,,,,,,,,,,
Denver Broncos,,who did the broncos beat in the super bowl,NONE,4148-4151,4180-4182,4212-4214,,,,,,,,,,,,,,,,,,,,
Dyatlov Pass incident,,there is no more massive member of group 2,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Girl Meets World episodes,,when does zay come to girl meets world,NONE,,,,,,,,,,,,,,,,,,,,,,,
Flag of Earth,,who designed the earth day flag in 1969,NONE,290-292,,,,,,,,,,,,,,,,,,,,,,
Distance,,the length and direction of a straight line between two locations or positions,NONE,,,,,,,,,,,,,,,,,,,,,,,
James Lafferty,,who played nathan scott on one tree hill,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of most expensive video games to develop,,how much money did it cost to make gta v,NONE,206-207,,,,,,,,,,,,,,,,,,,,,,
List of Diary of a Wimpy Kid characters,,who plays manny in diary of a wimpy kid,NONE,1920-1924,,,,,,,,,,,,,,,,,,,,,,
Citrus Bowl,,where is the citrus bowl held this year,NONE,393-400,,,,,,,,,,,,,,,,,,,,,,
Over the Garden Wall,,who plays the woodsman in over the garden wall,NONE,,,,,,,,,,,,,,,,,,,,,,,
Will Horton,,who is being murdered on days of our lives,NONE,,,,,,,,,,,,,,,,,,,,,,,
So You Think You Can Dance (U.S. season 2),,so you think you can dance season 2 judges,NONE,,,,,,,,,,,,,,,,,,,,,,,
Code talker,,historically what has been the significance of code talkers,NONE,,,,,,,,,,,,,,,,,,,,,,,
Combat medic,,can i be a medic in the marines,NONE,,,,,,,,,,,,,,,,,,,,,,,
Repatriation (cultural heritage),,where do the great treasures of ancient art belong,NONE,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Lail,,who played anna in once upon a time,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Java keywords,,which of the following is a keyword in java,NONE,,,,,,,,,,,,,,,,,,,,,,,
Phonograph,,who made possible the first reproduction of the human voice on the phonograph,NONE,268-270,,,,,,,,,,,,,,,,,,,,,,
UK Singles Chart records and statistics,,what is the longest running uk number 1 single,NONE,1734-1741,,,,,,,,,,,,,,,,,,,,,,
"Flag of Washington, D.C.",,what do the stars on the dc flag mean,NONE,,,,,,,,,,,,,,,,,,,,,,,
Space Race,,which decade saw the development of television and the beginnings of the space race,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Scandal episodes,,when is the next episode of scandal coming on,NONE,,,,,,,,,,,,,,,,,,,,,,,
American Idol,,when did american idol end the first time,NONE,659-663,,,,,,,,,,,,,,,,,,,,,,
Crimes (Substituted Section 59) Amendment Act 2007,,when did the anti smacking law come in nz,NONE,321-324,,,,,,,,,,,,,,,,,,,,,,
List of Game of Thrones characters,,what's the dwarf's name in game of thrones,NONE,20855-20867,,,,,,,,,,,,,,,,,,,,,,
Head of government,,which of the following would be an example of limited government,NONE,,,,,,,,,,,,,,,,,,,,,,,
Role set,,what is the role set of a student,NONE,,,,,,,,,,,,,,,,,,,,,,,
Beauty & the Beast (season 3),,tv series beauty and the beast season 3,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jamie Dornan,,who plays christian in 50 shades of grey,NONE,,,,,,,,,,,,,,,,,,,,,,,
I'll Meet You Halfway,,partridge family songs i'll meet you halfway,NONE,,,,,,,,,,,,,,,,,,,,,,,
Liam Cunningham,,who plays ser davos in game of thrones,NONE,137-139,,,,,,,,,,,,,,,,,,,,,,
Astrodome,,who hit the first home run in the houston astrodome,NONE,2109-2111,,,,,,,,,,,,,,,,,,,,,,
Star Trek: Discovery,,when does the next star trek episode come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
Iron and steel industry in India,,where are iron and steel industry located in india,NONE,,,,,,,,,,,,,,,,,,,,,,,
75th Golden Globe Awards,,which movie wins 4 awards in 75th golden globe award,NONE,346-352,,,,,,,,,,,,,,,,,,,,,,
In Time,,whats the movie called with justin timberlake and time,NONE,267-269,,,,,,,,,,,,,,,,,,,,,,
For Whom the Bell Tolls,,who wrote the poem for whom the bell tolls,NONE,115-117,,,,,,,,,,,,,,,,,,,,,,
The Bachelor (season 17),,contestants on sean's season of the bachelor,NONE,,,,,,,,,,,,,,,,,,,,,,,
Daimyō,,what's the difference between shogun and samurai,NONE,,,,,,,,,,,,,,,,,,,,,,,
2017 Monster Energy NASCAR Cup Series,,is this the last nascar race of the season,NONE,,,,,,,,,,,,,,,,,,,,,,,
Unicorn,,where did the idea of a unicorn come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lake City Army Ammunition Plant,,lake city army ammunition plant in independence missouri,NONE,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom and the American Civil War,,which battle ended britain's support for the south,NONE,,,,,,,,,,,,,,,,,,,,,,,
Period 5 element,,the atomic number of indium which belongs to 5th period is,NONE,5081-5082,,,,,,,,,,,,,,,,,,,,,,
Miranda v. Arizona,,who wrote the dissenting opinion of miranda v arizona,NONE,,,,,,,,,,,,,,,,,,,,,,,
Photosynthetic efficiency,,what percentage of sunlight is captured by plants to convert it into food energy,NONE,322-326,,,,,,,,,,,,,,,,,,,,,,
Electoral College (United States),,what is the number of total presidential electoral votes,NONE,329-330,,,,,,,,,,,,,,,,,,,,,,
Soil food web,,where does fungi go on a food web,NONE,,,,,,,,,,,,,,,,,,,,,,,
Robert Adamson (actor),,who plays noah newman on the young and the restless,NONE,152-156,,,,,,,,,,,,,,,,,,,,,,
Botswana pula,,when did the botswana currency first come into circulation,NONE,,,,,,,,,,,,,,,,,,,,,,,
Black hole,,compared to the event horizon the photon sphere of a black hole is,NONE,5424-5431,,,,,,,,,,,,,,,,,,,,,,
Kansas City Chiefs,,when do the kansas city chiefs play their first game,NONE,,,,,,,,,,,,,,,,,,,,,,,
Archie Marries Veronica/Archie Marries Betty,,in the archie comics who does archie end up with,NONE,,,,,,,,,,,,,,,,,,,,,,,
Git,,git and github related to software configuration management,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bill (law),,who signs bills to become laws in india,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of time in the United States,,when did daylight saving time start in texas,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of television,,when did television come out in the us,NONE,,,,,,,,,,,,,,,,,,,,,,,
Events leading to the attack on Pearl Harbor,,events that led up to the bombing of pearl harbor,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Resident (TV series),,who plays on the tv show the resident,NONE,,,,,,,,,,,,,,,,,,,,,,,
Twenty-third Amendment to the United States Constitution,,what historical event led to the creation of the 3rd amendment,NONE,,,,,,,,,,,,,,,,,,,,,,,
Catherine Tramell,,who is the real killer in basic instinct 2,NONE,306-308,,,,,,,,,,,,,,,,,,,,,,
Treaty of Brest-Litovsk,,what effect did russia's signing of the treaty of brest-litovsk have on wwi,NONE,,,,,,,,,,,,,,,,,,,,,,,
Gallup (company),,gallup poll® and the harris poll® are two organizations that,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jason Lewis (actor),,samantha's boyfriend in sex and the city,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Beam me up, Scotty",,what's in a beam me up scotty,NONE,695-696,697-698,,,,,,,,,,,,,,,,,,,,,
Easter Bunny,,where did the legend of the easter bunny come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Density,,which material is the heaviest in term of density,NONE,3232-3233,,,,,,,,,,,,,,,,,,,,,,
2010 NCAA Men's Basketball All-Americans,,best players in ncaa basketball 10 video game,NONE,,,,,,,,,,,,,,,,,,,,,,,
Winged infusion set,,can you use a butterfly needle for an iv,NONE,,,,,,,,,,,,,,,,,,,,,,,
Star Trek: Discovery,,when does star trek discovery air on tv,NONE,,,,,,,,,,,,,,,,,,,,,,,
God of War (franchise),,when was the last god of war made,NONE,2251-2255,,,,,,,,,,,,,,,,,,,,,,
List of Test cricket records,,who has scored the most half centuries in test cricket,NONE,7654-7656,,,,,,,,,,,,,,,,,,,,,,
I Only Want to Be with You,,who sings abc i only want to be with you,NONE,,,,,,,,,,,,,,,,,,,,,,,
You Never Can Tell (song),,song lyrics goes to show you never can tell,NONE,,,,,,,,,,,,,,,,,,,,,,,
Denver Broncos,,when did the broncos win the super bowl,NONE,329-330,334-335,339-340,,,,,,,,,,,,,,,,,,,,
The Curious Case of Benjamin Button (film),,what awards did the curious case of benjamin button win,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,where is cuba located on a world map,NONE,,,,,,,,,,,,,,,,,,,,,,,
Origins of the War of 1812,,factors that lead to the war of 1812,NONE,,,,,,,,,,,,,,,,,,,,,,,
Quarter Pounder,,when did the double quarter pounder come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
Visa policy of Taiwan,,do you need visa to go to taiwan,NO,,,,,,,,,,,,,,,,,,,,,,,
Distribution of wealth,,who holds most of the world's wealth,NONE,,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast,,who is beauty and the beast written by,NONE,70-78,,,,,,,,,,,,,,,,,,,,,,
Running of the Bulls,,when is the running of the bulls held in spain,NONE,44-48,,,,,,,,,,,,,,,,,,,,,,
Don't Go Away Mad (Just Go Away),,girl don't go away mad by motley crue,NONE,,,,,,,,,,,,,,,,,,,,,,,
Troy: Fall of a City,,who plays patroclus in troy fall of a city,NONE,,,,,,,,,,,,,,,,,,,,,,,
Owen Hart,,who was the wrestler who died in the ring,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Adobe software,,adobe acrobat photoshop and pagemaker are examples of,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of The Flash episodes,,when is the flash coming back after christmas,NONE,,,,,,,,,,,,,,,,,,,,,,,
White coat ceremony,,when do you get your white coat in pharmacy school,NONE,116-121,,,,,,,,,,,,,,,,,,,,,,
Do You Know What It Means to Miss New Orleans?,,louis armstrong do you know what it means,NONE,,,,,,,,,,,,,,,,,,,,,,,
Take Me Out (UK game show),,where do they film take me out fernando's,NONE,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Deathly Hallows – Part 1,,where was harry potter and the deathly hallows part 1 filmed,NONE,,,,,,,,,,,,,,,,,,,,,,,
Shooting the messenger,,where did the saying don't kill the messenger come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Thanksgiving (United States),,when was the last year thanksgiving was on the 23rd,NONE,10919-10920,,,,,,,,,,,,,,,,,,,,,,
Observational learning,,explain with example of four processes of observational learning,NONE,,,,,,,,,,,,,,,,,,,,,,,
Who's Gonna Save My Soul,,who's gonna save my soul now breaking bad,NONE,,,,,,,,,,,,,,,,,,,,,,,
You're a Grand Old Flag,,what are the lyrics to the grand old flag,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States news media and the Vietnam War,,when was the vietnam war broadcasted on tv,NONE,,,,,,,,,,,,,,,,,,,,,,,
Band on the Run,,paul mccartney and wings band on the run album,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Las Vegas Strip hotels,,how many hotels and casinos are in las vegas,NONE,,,,,,,,,,,,,,,,,,,,,,,
Figure skating at the 2018 Winter Olympics – Men's singles,,who won the medals in men's figure skating 2018,NONE,107-109,122-124,137-139,,,,,,,,,,,,,,,,,,,,
Colonial history of the United States,,the first permanent european settlement on future united states soil was located where,NONE,2568-2570,,,,,,,,,,,,,,,,,,,,,,
List of English words of Hindi or Urdu origin,,words which are same in hindi and english,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Ten Commandments (1956 film),,who were the actors in the ten commandments,NONE,,,,,,,,,,,,,,,,,,,,,,,
A Series of Unfortunate Events (TV series),,who played violet in a series of unfortunate events netflix,NONE,966-968,,,,,,,,,,,,,,,,,,,,,,
Shirley Jones,,who played the mom in the partridge family,NONE,317-320,,,,,,,,,,,,,,,,,,,,,,
Still Life at the Penguin Cafe,,simon jeffes still life at the penguin cafe,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wildlife of India,,one important reason for a large variety of wildlife found in india,NONE,,,,,,,,,,,,,,,,,,,,,,,
Star Wars: Episode II – Attack of the Clones,,star wars episode ii attack of the clones characters,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Young and the Restless characters (2015),,who plays sully on young and the restless,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Nicky, Ricky, Dicky & Dawn",,who plays dawn on nicky ricky dicky and dawn,NONE,695-697,,,,,,,,,,,,,,,,,,,,,,
Four Weddings and a Funeral,,who played tom in four weddings and a funeral,NONE,1521-1523,,,,,,,,,,,,,,,,,,,,,,
Ek Anek Aur Ekta,,who directed the iconic animated short educational film ek anek aur ekta,NONE,388-390,,,,,,,,,,,,,,,,,,,,,,
List of interments at Hollywood Forever Cemetery,,who is buried in the hollywood forever cemetery,NONE,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,is greenland part of europe or north america,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jackknifing,,when is an articulated lorry most likely to jackknife,NONE,114-121,,,,,,,,,,,,,,,,,,,,,,
If I Said You Had a Beautiful Body Would You Hold It Against Me,,who sang if you had a beautiful body would you hold it against me,NONE,327-334,,,,,,,,,,,,,,,,,,,,,,
Legal issues in airsoft,,what age do you need to be to buy a bb gun,NONE,,,,,,,,,,,,,,,,,,,,,,,
I Love New York (season 1),,where is 12 pack from i love new york from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Goat Island (Auckland),,how did goat island nz get its name,NONE,,,,,,,,,,,,,,,,,,,,,,,
Osmium,,the density of osmium which is the densest metal,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jelly bean,,when did jelly beans became associated with easter,NONE,290-291,,,,,,,,,,,,,,,,,,,,,,
Christmas tree,,who introduced the first chrismas tree to the uk,NONE,2206-2211,,,,,,,,,,,,,,,,,,,,,,
List of English words of Spanish origin,,what are two words in spanish that are borrowed from greek,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Asam Sahitya Sabha presidents,,who is the present president of assam sahitya sabha,NONE,1321-1323,,,,,,,,,,,,,,,,,,,,,,
Maya peoples,,what is the largest ethnic group in mexico today,NONE,,,,,,,,,,,,,,,,,,,,,,,
Human iron metabolism,,where is fe best absorbed in the body,NONE,2083-2092,,,,,,,,,,,,,,,,,,,,,,
United States presidential line of succession,,the chain of command of the united states,NONE,,,,,,,,,,,,,,,,,,,,,,,
New World monkey,,anatomical differences between old world and new world monkeys,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bankruptcy Abuse Prevention and Consumer Protection Act,,bankruptcy abuse prevention and consumer protection act of 2005 summary,NONE,,,,,,,,,,,,,,,,,,,,,,,
Methyl red,,how does methyl red work as a ph indicator,NONE,,,,,,,,,,,,,,,,,,,,,,,
It's a Man's Man's Man's World (album),,it's a man's man's man's world album,NONE,,,,,,,,,,,,,,,,,,,,,,,
New York Rangers,,when was the last time ny rangers won stanley cup,NONE,495-498,,,,,,,,,,,,,,,,,,,,,,
Wake Me Up When September Ends,,wake me up when september ends meaning music video,NONE,,,,,,,,,,,,,,,,,,,,,,,
Vacuole,,what is the function of vacuole in cell,NONE,,,,,,,,,,,,,,,,,,,,,,,
Peanut butter and jelly sandwich,,who invented peanut butter and jelly sandwich yahoo,NONE,,,,,,,,,,,,,,,,,,,,,,,
Starbucks,,when did starbucks become a publicly traded company,NONE,1548-1550,,,,,,,,,,,,,,,,,,,,,,
SLAP tear,,slap tears of the glenoid labrum in contact athletes,NONE,,,,,,,,,,,,,,,,,,,,,,,
Army Combat Uniform,,what side does us army go on acu,NONE,1644-1646,,,,,,,,,,,,,,,,,,,,,,
The X-Files: I Want to Believe,,when does the x files i want to believe take place,NONE,,,,,,,,,,,,,,,,,,,,,,,
Race to the Top,,is race to the top still going on,YES,,,,,,,,,,,,,,,,,,,,,,,
Merrill Edge,,is merrill lynch the same as merrill edge,NO,,,,,,,,,,,,,,,,,,,,,,,
Chamber of commerce,,what type of business is chamber of commerce,NONE,,,,,,,,,,,,,,,,,,,,,,,
Plant hormone,,chemicals produced in one part of a plant that affect the growth and response of other parts,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States presidential line of succession,,who succeeds the speaker of the house as president,NONE,122-128,,,,,,,,,,,,,,,,,,,,,,
Who Knows Where the Time Goes (Judy Collins album),,who knows where the time goes judy collins,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cross-site request forgery,,cross-site request forgery prevention tokens should have which of the following characteristics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Supreme Court of the Philippines,,what are the power of supreme court in the philippines,NONE,,,,,,,,,,,,,,,,,,,,,,,
Justin's House,,who plays reggie the robot in justin's house,NONE,415-417,,,,,,,,,,,,,,,,,,,,,,
Economic history of France,,who made large sums of money for the french,NONE,,,,,,,,,,,,,,,,,,,,,,,
Blackjack,,what advantage does the dealer have in blackjack,NONE,4016-4032,,,,,,,,,,,,,,,,,,,,,,
Black Death,,where did the name black death come from,NONE,6192-6208,,,,,,,,,,,,,,,,,,,,,,
How to Train Your Dragon,,how to train your dragon book why dragons are no more,NONE,,,,,,,,,,,,,,,,,,,,,,,
Flood control,,a barrier that runs across a river or stream to control the flow of water,NONE,,,,,,,,,,,,,,,,,,,,,,,
1999 Seattle WTO protests,,what were the wto riots in seattle about,NONE,,,,,,,,,,,,,,,,,,,,,,,
Nest learning thermostat,,when did the nest 3rd generation come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
Reflected appraisal,,for a reflected appraisal to be regarded as important it must be,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of That '70s Show characters,,did donna have a little sister on that 70s show,YES,,,,,,,,,,,,,,,,,,,,,,,
101 Dalmatians (1996 film),,who played cruella de vil in 101 dalmatians,NONE,1385-1387,,,,,,,,,,,,,,,,,,,,,,
Animal fiber,,name two fibres which are made of proteins,NONE,,,,,,,,,,,,,,,,,,,,,,,
Raising of Chicago,,who was the man who designed so many houses after the great chicago fire,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Walking Dead (season 1),,when does rick find his wife in walking dead,NONE,3581-3588,,,,,,,,,,,,,,,,,,,,,,
Battle of Salamis,,the battle of salamis was significant because it,NONE,,,,,,,,,,,,,,,,,,,,,,,
Structure of the United States Congress,,which of the following is a reason congress uses committees,NONE,,,,,,,,,,,,,,,,,,,,,,,
Collectivization in the Soviet Union,,what was the reaction of kulaks to collectivizing agriculture be specific,NONE,,,,,,,,,,,,,,,,,,,,,,,
Aidan Gillen,,who plays petyr baelish on game of thrones,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jon Snow (character),,who is john snow on game of thrones,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sun,,the core of the sun in which the sun's thermonuclear energy is produced takes up about,NONE,3834-3848,,,,,,,,,,,,,,,,,,,,,,
Doc McStuffins,,what are the characters names in doc mcstuffins,NONE,,,,,,,,,,,,,,,,,,,,,,,
Where's Wally?,,what kind of book is where's waldo,NONE,175-176,,,,,,,,,,,,,,,,,,,,,,
America's Next Top Model (cycle 24),,who won latest america's next top model,NONE,212-214,,,,,,,,,,,,,,,,,,,,,,
Evil eye,,how do you say evil eye in greek,NONE,4013-4017,,,,,,,,,,,,,,,,,,,,,,
Anterior interventricular branch of left coronary artery,,where is the left anterior descending artery located,NONE,,,,,,,,,,,,,,,,,,,,,,,
Standard form contract,,what does the application of contract of adhesion mean,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pulmonary artery,,where does the pulmonary trunk receive blood from,NONE,153-155,,,,,,,,,,,,,,,,,,,,,,
Once Upon a Time (season 7),,once upon a time season 7 episode 7 wiki,NONE,,,,,,,,,,,,,,,,,,,,,,,
Youth Day,,when was south african youth day first celebrated,NONE,508-510,,,,,,,,,,,,,,,,,,,,,,
List of Major League Baseball franchise postseason droughts,,baseball teams who have not won a world series,NONE,904-906,924-926,944-947,965-967,985-987,1125-1127,1176-1179,,,,,,,,,,,,,,,,
List of Spanish football champions,,who has the most trophies in la liga,NONE,257-259,,,,,,,,,,,,,,,,,,,,,,
Cross-site request forgery,,invalid csrf (cross site request forgery) token,NONE,,,,,,,,,,,,,,,,,,,,,,,
Parable of the Prodigal Son,,who told the story of the prodigal son,NONE,139-141,,,,,,,,,,,,,,,,,,,,,,
All That: The Album,,who sings the theme song to all that,NONE,,,,,,,,,,,,,,,,,,,,,,,
2017 SEC Championship Game,,who's playing in the sec championship 2017,NONE,,,,,,,,,,,,,,,,,,,,,,,
Good Morning (1939 song),,who sang the song good morning good morning,NONE,,,,,,,,,,,,,,,,,,,,,,,
Mall of America,,what was the purpose of the mall of america,NONE,351-352,,,,,,,,,,,,,,,,,,,,,,
List of the busiest airports in the United States,,who has the biggest airport in the us,NONE,,,,,,,,,,,,,,,,,,,,,,,
Betty Cooper,,who does betty end up with on riverdale,NONE,,,,,,,,,,,,,,,,,,,,,,,
2017 American League Championship Series,,who won the american league east in 2017,NONE,,,,,,,,,,,,,,,,,,,,,,,
Anaheim Ducks,,when was the last time the ducks won the stanley cup,NONE,483-486,,,,,,,,,,,,,,,,,,,,,,
Tujhe Meri Kasam,,pal pal soch mein aana na movie name,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States budget process,,when is the last time congress passed a complete budget,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sun,,what is the real name of our sun,NONE,,,,,,,,,,,,,,,,,,,,,,,
I Wanna Be Sedated,,who sang the song i wanna be sedated,NONE,,,,,,,,,,,,,,,,,,,,,,,
Names of China,,china in chinese is called zhongguo which means,NONE,1068-1080,1082-1105,,,,,,,,,,,,,,,,,,,,,
I Dreamed a Dream,,who sang i dreamed a dream in les miserables,NONE,249-252,,,,,,,,,,,,,,,,,,,,,,
The Hundred-Foot Journey (film),,when does the hundred foot journey take place,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Conjuring 2,,who plays the scary nun in the conjuring 2,NONE,1438-1440,,,,,,,,,,,,,,,,,,,,,,
List of Billboard Hot 100 chart achievements and milestones,,who has the most number one single hits,NONE,6985-6987,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Dodgers,,has the la dogers ever won a world series,YES,,,,,,,,,,,,,,,,,,,,,,,
Wish You Were Here (Pink Floyd album),,pink floyd wish you were here cover art,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cash Cab (U.S. game show),,how does the cash cab guy read the questions,NONE,2580-2593,,,,,,,,,,,,,,,,,,,,,,
Black Death in England,,when did the black death end in england,NONE,2576-2578,,,,,,,,,,,,,,,,,,,,,,
Who Wants to Be a Millionaire?,,who wants to be millionaire phone a friend,NONE,,,,,,,,,,,,,,,,,,,,,,,
Voter registration,,texas uses what kind of voter registration system,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Cat in the Hat Knows a Lot About That!,,cat in the hat knows a lot about space movie,NONE,,,,,,,,,,,,,,,,,,,,,,,
NCIS: Los Angeles (season 9),,when do new episodes of ncis los angeles return,NONE,176-180,,,,,,,,,,,,,,,,,,,,,,
And I Am Telling You I'm Not Going,,who sings the song you're going to love me,NONE,,,,,,,,,,,,,,,,,,,,,,,
Freddie Highmore,,who is the actor that plays the good doctor on tv,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cell membrane,,what are the different types of transport in cells,NONE,,,,,,,,,,,,,,,,,,,,,,,
Scientific control,,control #1 was this a positive or negative control what purpose did it serve in the experiment,NONE,,,,,,,,,,,,,,,,,,,,,,,
What Is To Be Done?,,what is to be done burning questions of our movement,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ouija,,when did the ouija board first come out,NONE,803-807,,,,,,,,,,,,,,,,,,,,,,
Fablehaven,,what is the theme of fablehaven book 1,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Glass Castle (film),,where was the movie the glass castle filmed,NONE,858-862,,,,,,,,,,,,,,,,,,,,,,
Oakland Raiders relocation to Las Vegas,,when do the oakland raiders move to vegas,NONE,79-116,,,,,,,,,,,,,,,,,,,,,,
Coffee,,who grows the most coffee in the world,NONE,8226-8227,,,,,,,,,,,,,,,,,,,,,,
The Wonder of You,,that's the wonder the wonder of you,NONE,,,,,,,,,,,,,,,,,,,,,,,
2022 Commonwealth Games,,when are the next commonwealth games going to be held,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tight junction,,where can tight junctions be found in the body,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cell division,,using illustration give detail account of cell division in living organism,NONE,,,,,,,,,,,,,,,,,,,,,,,
File system permissions,,what is the default file permission in unix,NONE,,,,,,,,,,,,,,,,,,,,,,,
One Bad Apple,,who sang one bad apple spoils the bunch,NONE,,,,,,,,,,,,,,,,,,,,,,,
Nissan Stadium,,where is the tennessee titans football stadium located,NONE,107-130,,,,,,,,,,,,,,,,,,,,,,
Barn owl,,how did the barn owl get its name,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of cancer,,when was the first case of cancer found,NONE,,,,,,,,,,,,,,,,,,,,,,,
John Obi Mikel,,how many goals did mikel score for chelsea,NONE,201-202,,,,,,,,,,,,,,,,,,,,,,
Eligible receiver,,how many players on the line of scrimmage in american football,NONE,529-530,,,,,,,,,,,,,,,,,,,,,,
Android Nougat,,when does the new android os come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
Seth MacFarlane,,who played in a million ways to die in the west,NONE,,,,,,,,,,,,,,,,,,,,,,,
Virtual private network,,you can establish a virtual private network (vpn) connection,NONE,,,,,,,,,,,,,,,,,,,,,,,
Nine Years' War,,who won the war of the grand alliance,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cintrón,,where does the last name cintron come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Deus ex machina,,a machine is a device that changes a(n),NONE,,,,,,,,,,,,,,,,,,,,,,,
Financial institution,,which one of the following is a non-profit financial intermediary,NONE,,,,,,,,,,,,,,,,,,,,,,,
Heart of the Ocean,,where did they find the heart of the ocean,NONE,,,,,,,,,,,,,,,,,,,,,,,
Merderet,,where was the bridge in saving private ryan,NONE,,,,,,,,,,,,,,,,,,,,,,,
Civil Rights Act of 1964,,which is not a specifically exempted from title vii cra according to your text,NONE,,,,,,,,,,,,,,,,,,,,,,,
Separation of duties,,how does separation of the record keeping function from custody of assets,NONE,,,,,,,,,,,,,,,,,,,,,,,
Get Out,,when does the star movie come out in canada,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Good Behavior episodes,,when does new episodes of good behavior come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
